"id","park_name","address","type","fees","lights","indoor","courts"
221,"Brace Canyon Park","2901 Haven Way, Burbank","Public","No","No","No","4"
222,"Farnsworth Park","568 E Mount Curve Ave, Altadena","Public","No","Yes","No","2"
223,"Stoner Recreation Center","1835 Stoner Ave, Los Angeles","Public","No","No","No","6"
225,"Sycamore Tennis Courts","405 Hilgard Ave, Los Angeles","Public","No","No","No","6"
229,"Hamilton Park","3680 Cartwright St, Pasadena","Public","No","Yes","No","2"
232,"Clover Park","2600 Ocean Park Blvd, Santa Monica","Public","No","Yes","No","2"
233,"Arthur Lee Johnson Memorial Park","1200 W 170th St, Gardena","Public","No","Yes","No","4"
236,"Broadway Park","12816 Broadway Rd, Whittier","Public","No","Yes","No","2"
237,"Stevenson Park","17400 Lysander Dr, Carson","Public","No","Yes","No","2"
243,"El Camino College","16007 Crenshaw Blvd, Torrance","Public","No","Yes","No","10"
248,"Dunsmore Park","4720 Dunsmore Ave, Glendale","Public","No","No","No","1"
249,"Barrington Recreation Center","333 S Barrington Ave, Los Angeles","Public","No","Yes","No","4"
251,"Houghton Park","6301 Myrtle Ave, Long Beach","Public","No","Yes","No","2"
252,"Valley Plaza Park","12240 Archwood Street, Los Angeles","Public","No","Yes","No","4"
253,"Sierra Madre Park","611 E Sierra Madre Blvd, Sierra Madre","Public","No","Yes","No","2"
256,"Orange Grove Park","674 E Orange Grove Ave, Arcadia","Public","No","No","No","5"
258,"De Forest Park","6255 De Forest Ave, Long Beach","Public","No","Yes","No","4"
260,"Marine Park","1406 Marine St, Santa Monica","Public","No","Yes","No","3"
263,"El Segundo Parks & Recreation Tennis Center","401 Sheldon Street, El Segundo","Public","Yes","Yes","No","7"
267,"Arcadia County Park","405 S Santa Anita Ave, Arcadia","Public","No","Yes","No","12"
268,"Ramona Park","3301 E 65th St, Long Beach","Public","No","No","No","2"
269,"Tierra Verde Park","224 E Camino Real Ave, Arcadia","Public","No","Yes","No","2"
272,"Anderson Park","19101 Wilimington Ave, Carson","Public","No","Yes","No","4"
273,"Newcastle Park","143 W Colorado Blvd, Arcadia","Public","No","Yes","No","2"
274,"Victoria Park","419 E 192nd St, Carson","Public","No","Yes","No","4"
275,"Sun Valley Park","8133 Vineland Ave, Sun Valley","Public","No","Yes","No","2"
276,"Sherman Oaks Tennis Center","14201 Huston St, Van Nuys","Public","No","Yes","No","8"
278,"Anderson Park","2229 Ernest Ave, Redondo Beach","Public","No","Yes","No","2"
279,"Memorial Park","1401 Olympic Blvd, Santa Monica","Public","No","Yes","No","4"
280,"San Angelo Park","245 San Angelo Ave, Avocado Heights","Public","No","Yes","No","2"
281,"Camino Grove Park","1420 S Sixth St, Arcadia","Public","No","Yes","No","3"
284,"Sierra Vista Park","611 E Sierra Madre Blvd, Sierra Madre","Public","No","Yes","No","2"
285,"Manhattan Heights Park","1600 Manhattan Beach Blvd., Manhattan Beach","Public","No","Yes","No","2"
286,"Los Amigos Park","2598 6th St, Santa Monica","Public","No","Yes","No","1"
288,"Bellflower City Caruthers Park","10500 Flora Vista St, Bellflower","Public","No","Yes","No","2"
289,"Ocean View Park","2701 Barnard Way, Santa Monica","Public","No","Yes","No","6"
293,"Atlantic Plaza Park","1000 Via Wanda, Long Beach","Public","No","No","No","1"
295,"Reed Park","1133 7th St, Santa Monica","Public","No","Yes","No","6"
299,"Scherer Park","4600 Long Beach Boulevard, Long Beach","Public","No","Yes","No","4"
300,"Live Oak Park","1901 N Valley Dr, Manhattan Beach","Public","Yes","Yes","No","6"
304,"Dolphin Park","21205 Water St, Carson","Public","No","Yes","No","2"
306,"Mayfair Park","720 Clark Ave, Lakewood","Public","No","Yes","No","2"
313,"Sunland Park","8651 Foothill Blvd, Los Angeles","Public","No","No","No","2"
314,"Van Nuys Recreation Center","14301 Vanowen Ave, Van Nuys","Public","No","Yes","No","3"
316,"La Romeria Park","19501 Inglewood Ave, Torrance","Public","No","Yes","No","1"
317,"Cherry Ave Park","1901 E 45th St., Long Beach","Public","No","Yes","No","2"
319,"Westgate Park","18830 San Gabriel Ave, Cerritos","Public","No","Yes","No","1"
320,"Rustic Canyon Recreation Center","601 Latimer Rd, Santa Monica","Public","No","No","No","6"
321,"Calas Park","900 E 220th St, Carson","Public","No","Yes","No","2"
323,"Hermosa Beach Community Center","710 Pier Ave, Hermosa Beach","Public","No","Yes","No","6"
326,"Somerset Park","1500 E Carson St, Long Beach","Public","No","Yes","No","2"
328,"Clark Field","1035 Valley Dr, Hermosa Beach","Public","No","Yes","No","2"
329,"Los Cerritos Park","3750 Del Mar Ave, Long Beach","Public","No","Yes","No","2"
330,"Lakewood Tennis Center","4212 Clubhouse Dr, Lakewood","Public","No","Yes","No","14"
332,"La Mirada City Gardenhill Park","14435 Gardenhill Drive, La Mirada","Public","No","Yes","No","2"
333,"Monrovia Recreation Park","779 E Olive Ave, Monrovia","Public","No","Yes","No","4"
334,"Liberty Park","19211 Studebaker Rd, Cerritos","Public","No","Yes","No","6"
336,"Veterans Park","22400 Moneta Ave, Carson","Public","No","Yes","No","2"
337,"Palisades Tennis Center","851 Alma Real Dr, Los Angeles","Public","Yes","Yes","No","8"
339,"Branford Park","9019 Beachy Ave, Los Angeles","Public","No","Yes","No","2"
340,"Leffingwell Ranch Park","10537 Santa Gertrudes, Whittier","Public","No","Yes","No","4"
343,"Cerritos Park East","13234 166th St, Cerritos","Public","No","Yes","No","4"
348,"Paradise Park","5006 Lee St, Torrance","Public","No","Yes","No","2"
349,"Silverado Park","1545 W 31st St, Long Beach","Public","No","Yes","No","4"
350,"Duarte Sports Park","1401 Central Ave, Duarte","Public","No","Yes","No","6"
352,"Panorama Recreation Center","8600 Hazeltine Ave, Los Angeles","Public","No","No","No","4"
355,"Scott Park","23410 Catskill Avenue, Carson","Public","No","Yes","No","2"
361,"Hartwell Park","5697 E Parkcrest St, Long Beach","Public","No","No","No","1"
